Email,StoreID
tanaka@northstar-retail.example.com,S001
sato@northstar-retail.example.com,S002
suzuki@northstar-retail.example.com,S003
takahashi@northstar-retail.example.com,S004
ito@northstar-retail.example.com,S005
watanabe@northstar-retail.example.com,S006
yamamoto@northstar-retail.example.com,S007
nakamura@northstar-retail.example.com,S008
kobayashi@northstar-retail.example.com,S009
kato@northstar-retail.example.com,S010
yoshida@northstar-retail.example.com,S011
yamada@northstar-retail.example.com,S012
sasaki@northstar-retail.example.com,S013
matsumoto@northstar-retail.example.com,S014
area-kanto@northstar-retail.example.com,S001
area-kanto@northstar-retail.example.com,S002
area-kanto@northstar-retail.example.com,S003
area-kanto@northstar-retail.example.com,S004
exec@northstar-retail.example.com,S001
exec@northstar-retail.example.com,S002
exec@northstar-retail.example.com,S003
exec@northstar-retail.example.com,S004
exec@northstar-retail.example.com,S005
exec@northstar-retail.example.com,S006
exec@northstar-retail.example.com,S007
exec@northstar-retail.example.com,S008
exec@northstar-retail.example.com,S009
exec@northstar-retail.example.com,S010
exec@northstar-retail.example.com,S011
exec@northstar-retail.example.com,S012
exec@northstar-retail.example.com,S013
exec@northstar-retail.example.com,S014
