CustomerID,CustomerName,Segment,Region,Prefecture,SignupDate
C00001,井上 大翔,ゴールド,関東,神奈川県,2023-02-25
C00002,小林 咲良,プラチナ,中部,愛知県,2021-07-08
C00003,吉田 咲良,一般,近畿,大阪府,2024-04-24
C00004,山田 結菜,一般,近畿,兵庫県,2022-08-27
C00005,吉田 樹,ゴールド,中国,広島県,2023-01-04
C00006,伊藤 颯太,一般,中国,広島県,2023-12-14
C00007,高橋 陽菜,一般,北海道,北海道,2024-08-23
C00008,佐藤 蒼,プラチナ,東北,宮城県,2020-05-04
C00009,渡辺 悠真,一般,関東,神奈川県,2025-01-10
C00010,田中 陽菜,ゴールド,近畿,京都府,2021-01-03
C00011,松本 彩,プラチナ,九州,福岡県,2024-10-02
C00012,鈴木 颯太,プラチナ,東北,宮城県,2022-03-20
C00013,小林 陽菜,一般,近畿,兵庫県,2023-04-13
C00014,小林 健太,一般,九州,福岡県,2023-12-30
C00015,清水 結衣,一般,北海道,北海道,2020-05-17
C00016,木村 莉子,一般,近畿,大阪府,2021-02-25
C00017,中村 陽翔,ゴールド,東北,宮城県,2022-11-02
C00018,清水 蓮,一般,近畿,大阪府,2021-05-09
C00019,井上 咲良,一般,中部,愛知県,2024-03-24
C00020,吉田 杏,ゴールド,東北,宮城県,2025-04-11
C00021,林 杏,一般,東北,宮城県,2022-08-01
C00022,吉田 結衣,一般,近畿,大阪府,2020-07-29
C00023,木村 咲良,一般,中部,愛知県,2025-05-31
C00024,山本 芽依,プラチナ,関東,東京都,2021-08-19
C00025,山本 結衣,プラチナ,近畿,大阪府,2022-10-22
C00026,高橋 陽菜,一般,近畿,京都府,2023-10-10
C00027,伊藤 咲良,一般,関東,埼玉県,2020-09-26
C00028,山田 結衣,一般,中国,広島県,2022-02-19
C00029,清水 樹,ゴールド,関東,東京都,2024-09-27
C00030,佐藤 健太,ゴールド,近畿,兵庫県,2023-09-15
C00031,木村 健太,プラチナ,関東,埼玉県,2021-02-06
C00032,小林 彩,一般,関東,東京都,2022-03-25
C00033,渡辺 颯太,一般,北海道,北海道,2024-06-28
C00034,加藤 咲良,一般,関東,東京都,2021-11-10
C00035,伊藤 陽翔,一般,中部,石川県,2024-09-19
C00036,高橋 杏,ゴールド,関東,東京都,2023-05-15
C00037,井上 杏,一般,九州,福岡県,2020-10-15
C00038,井上 樹,ゴールド,関東,東京都,2024-08-19
C00039,中村 湊,ゴールド,関東,東京都,2020-10-27
C00040,清水 大翔,一般,中部,石川県,2021-10-25
C00041,佐藤 健太,一般,近畿,兵庫県,2022-04-28
C00042,吉田 蒼,一般,関東,神奈川県,2022-06-02
C00043,渡辺 美咲,一般,東北,宮城県,2021-03-24
C00044,田中 樹,一般,関東,神奈川県,2023-08-05
C00045,渡辺 樹,プラチナ,近畿,大阪府,2020-01-10
C00046,鈴木 結衣,ゴールド,関東,千葉県,2021-09-01
C00047,高橋 大翔,一般,関東,東京都,2024-02-19
C00048,鈴木 大翔,ゴールド,近畿,京都府,2024-01-22
C00049,佐藤 蒼,ゴールド,東北,宮城県,2023-02-13
C00050,山本 蓮,プラチナ,北海道,北海道,2022-10-30
C00051,伊藤 結菜,プラチナ,近畿,京都府,2024-06-08
C00052,渡辺 颯太,プラチナ,関東,東京都,2021-05-26
C00053,田中 湊,プラチナ,中部,愛知県,2020-07-21
C00054,佐々木 陽翔,ゴールド,近畿,大阪府,2022-09-25
C00055,佐藤 樹,プラチナ,中国,広島県,2021-11-02
C00056,小林 蒼,一般,中部,石川県,2024-08-31
C00057,高橋 颯太,ゴールド,近畿,京都府,2025-04-13
C00058,加藤 颯太,プラチナ,関東,埼玉県,2023-09-29
C00059,鈴木 咲良,ゴールド,関東,埼玉県,2021-12-25
C00060,中村 蓮,一般,関東,神奈川県,2023-10-03
C00061,伊藤 颯太,ゴールド,関東,千葉県,2021-05-16
C00062,松本 湊,プラチナ,関東,東京都,2024-11-22
C00063,佐藤 結菜,一般,関東,埼玉県,2021-01-24
C00064,伊藤 蒼,プラチナ,近畿,京都府,2023-07-17
C00065,林 健太,ゴールド,中部,石川県,2021-07-03
C00066,井上 咲良,一般,北海道,北海道,2020-03-17
C00067,鈴木 健太,ゴールド,中部,愛知県,2022-12-30
C00068,加藤 悠真,ゴールド,九州,福岡県,2020-11-26
C00069,田中 彩,ゴールド,関東,神奈川県,2025-01-13
C00070,佐藤 大翔,プラチナ,関東,神奈川県,2020-06-06
C00071,木村 美咲,プラチナ,関東,埼玉県,2023-02-12
C00072,清水 蓮,一般,関東,千葉県,2020-01-27
C00073,渡辺 咲良,ゴールド,関東,埼玉県,2020-12-20
C00074,渡辺 颯太,一般,関東,神奈川県,2025-05-02
C00075,井上 悠真,ゴールド,関東,埼玉県,2021-03-13
C00076,山本 結衣,一般,関東,神奈川県,2024-03-01
C00077,田中 大翔,ゴールド,近畿,京都府,2023-12-30
C00078,山本 陽菜,ゴールド,中部,愛知県,2025-04-02
C00079,清水 湊,一般,関東,埼玉県,2020-10-28
C00080,山本 大翔,一般,関東,東京都,2022-12-27
C00081,鈴木 結菜,一般,東北,宮城県,2025-01-28
C00082,佐藤 咲良,一般,関東,千葉県,2023-01-12
C00083,伊藤 湊,一般,北海道,北海道,2020-08-26
C00084,伊藤 健太,ゴールド,関東,神奈川県,2021-10-28
C00085,木村 悠真,ゴールド,近畿,京都府,2023-01-10
C00086,井上 彩,一般,関東,埼玉県,2021-06-24
C00087,佐々木 蒼,ゴールド,北海道,北海道,2020-12-16
C00088,中村 結衣,ゴールド,中国,広島県,2024-06-04
C00089,佐藤 湊,ゴールド,中部,石川県,2025-04-19
C00090,佐々木 芽依,一般,近畿,大阪府,2022-12-18
C00091,伊藤 陽翔,プラチナ,北海道,北海道,2024-03-18
C00092,田中 莉子,ゴールド,中部,愛知県,2022-12-25
